Evento ,Departamento ,Municipio ,Fecha ,Año ,Lugar ,Muertos ,Heridos ,Desaparecidos ,Viviendas Destruídas ,Viviendas Afectadas ,Damnificados ,Afectados ,Reubicados ,Evacuados ,Pérdidas $USD ,Pérdidas $Local ,Centros Educativos ,Centros Médicos ,Daños cultivos Ha ,Ganado ,Daños en vías Mts ,Número GLIDE ,Observaciones
PLAGUE, STA BARBARA, SANTA BARBARA,2015-03-0,, Santa Barbara , , , , , , , , , ,0,75770.43, , ,108.92,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SAN PEDRO ZACAPA,2015-03-0,, San Pedro Zacapa , , , , , , , , , ,0,635380.86, , ,913.36,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SAN NICOLAS,2015-03-0,, San Nicolas , , , , , , , , , ,0,118998.26, , ,171.06,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SAN MARCOS,2015-03-0,, San Marcos , , , , , , , , , ,0,45899.13, , ,65.98,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SAN LUIS,2015-03-0,, San Luis , , , , , , , , , ,0,321140.86, , ,461.74,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SAN JOSE DE COLINAS,2015-03-0,, San jose de Colinas , , , , , , , , , ,0,93606.95, , ,134.56,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SAN FANCISCO DE OJUERA,2015-03-0,, San Francisco de Ojuera , , , , , , , , , ,0,127311.3, , ,183.01,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, QUIMISTAN,2015-03-0,, Quimistan , , , , , , , , , ,0,1892424.34, , ,2720.36,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, PROTECCION,2015-03-0,, Proteccion , , , , , , , , , ,0,3659.13, , ,5.26,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, PETOA,2015-03-0,, Petoa , , , , , , , , , ,0,23081.73, , ,33.18,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, NUEVA FRONTERA,2015-03-0,, Nueva Frontera , , , , , , , , , ,0,202135.65, , ,290.57,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, NARANJITO,2015-03-0,, Naranjito , , , , , , , , , ,0,9147.82, , ,13.15,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, MACUELIZO,2015-03-0,, Macuelizo , , , , , , , , , ,0,91826.08, , ,132,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, LAS VEGAS,2015-03-0,, Las Vegas , , , , , , , , , ,0,3283.48, , ,4.72,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, ILAMA,2015-03-0,, Ilama , , , , , , , , , ,0,17509.56, , ,25.17,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, GUALALA,2015-03-0,, Guacala , , , , , , , , , ,0,3012.17, , ,4.33,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, EL NISPERO,2015-03-0,, El Nispero , , , , , , , , , ,0,29683.49, , ,42.67,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, CONCEPCION DEL SUR,2015-03-0,, Concepcion del Sur , , , , , , , , , ,0,8424.35, , ,12.11,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, CONCEPCION DEL NORTE,2015-03-0,, Concepción del Norte , , , , , , , , , ,0,18045.21, , ,25.94,0, , ,Bosque de pino afectado por sequia 
PLAGUE, STA BARBARA, CHINDA,2015-03-0,, Chinda , , , , , , , , , ,0,23867.83, , ,34.31,0, , ,Bosquen de pino afectado por gorgojo 
PLAGUE, STA BARBARA, CEGUACA,2015-03-0,, Ceguaca , , , , , , , , , ,0,1266.08, , ,1.82,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, AZACUALPA,2015-03-0,, Azacualpa , , , , , , , , , ,0,259965.21, , ,373.7,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, ATIMA,2015-03-0,, Atima , , , , , , , , , ,0,41808.69, , ,60.1,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, ARADA,2015-03-0,, Arada , , , , , , , , , ,0,48716.52, , ,70.03,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, YOCON,2015-04-0,, Yocon , , , , , , , , , ,0,3407721.74, , ,4898.6,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, SILCA,2015-04-0,, Silca , , , , , , , , , ,0,3705133.91, , ,5326.13,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, SANTA MARIA DEL REAL,2015-04-0,, Santa Maria del Real , , , , , , , , , ,0,13683.48, , ,19.67,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, SAN FRANCISCO DE LA PAZ,2015-04-0,, San Francisco de la Paz , , , , , , , , , ,0,785273.04, , ,1128.83,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, SAN FRANCISCO DE BECERRA,2015-04-0,, San Francisco de Becerra , , , , , , , , , ,0,155756.52, , ,223.9,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, SAN ESTEBAN,2015-04-0,, San Esteban , , , , , , , , , ,0,3772473.04, , ,5422.93,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, SALAMA,2015-04-0,, Salama , , , , , , , , , ,0,7754121.73, , ,11146.55,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, PATUCA,2015-04-0,, Patuca , , , , , , , , , ,0,5113.04, , ,7.35,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, MANTO,2015-04-0,, Manto , , , , , , , , , ,0,10192674.78, , ,14651.97,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, MANGULILE,2015-04-0,, Manguile , , , , , , , , , ,0,8145092.17, , ,11708.57,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, LA UNION,2015-04-0,, La Union , , , , , , , , , ,0,12649300.87, , ,18183.37,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, JUTICALPA,2015-04-0,, Juticalpa , , , , , , , , , ,0,4721259.13, , ,6786.81,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, JANO,2015-04-0,, Jano , , , , , , , , , ,0,12512765.22, , ,17987.1,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, GUAYAPE,2015-04-0,, Guayape , , , , , , , , , ,0,8304688.7, , ,11937.99,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, GUATA,2015-04-0,, Guata , , , , , , , , , ,0,15549772.17, , ,22339.86,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, GUARIZAMA,2015-04-0,, Guarizama , , , , , , , , , ,0,610546.08, , ,877.66,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, GUALACO,2015-04-0,, Gualaco , , , , , , , , , ,0,44157794.78, , ,63476.83,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, ESQUIPULAS DEL NORTE,2015-04-0,, Esquipulas del Norte , , , , , , , , , ,0,4919255.65, , ,7071.43,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, EL ROSARIO,2015-04-0,, El Rosario , , , , , , , , , ,0,3193551.3, , ,4590.73,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, DULCE NOMBRE DE CULMI,2015-04-0,, Dulce Nombre de Culmi , , , , , , , , , ,0,224890.43, , ,323.28,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, CONCORDIA,2015-04-0,, Concordia , , , , , , , , , ,0,1765940.87, , ,2538.54,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, CATACAMAS,2015-04-0,, Catacamas , , , , , , , , , ,0,1309377.4, , ,1882.23,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OLANCHO, CAMPAMENTO,2015-04-0,, Campamento , , , , , , , , , ,0,1691206.95, , ,2431.11,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SINUAPA,2015-03-0,, Sinuapa , , , , , , , , , ,0,5690.43, , ,8.18,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SENSENTI,2015-03-0,, Sensenti , , , , , , , , , ,0,452.17, , ,0.65,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SANTA FE,2015-03-0,, Santa Fe , , , , , , , , , ,0,354.78, , ,0.51,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SAN MARCOS,2015-03-0,, San Marcos , , , , , , , , , ,0,3318.26, , ,4.77,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SAN JORGE,2015-03-0,, San Jorge , , , , , , , , , ,0,271.3, , ,0.39,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SAN FRANCISCO DEL VALLE,2015-03-0,, San Francisco del Valle , , , , , , , , , ,0,2066.08, , ,2.97,0, , ,Bosque afectado por gorgojo 
PLAGUE, OCOTEPEQUE, SAN FERNANDO,2015-03-0,, San Fernando , , , , , , , , , ,0,591.3, , ,0.85,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, OCOTEQPEQUE,2015-03-0,, Ocotepeque , , , , , , , , , ,0,3053.91, , ,4.39,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, MERCEDES,2015-03-0,, Mercedes , , , , , , , , , ,0,751.3, , ,1.08,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, LUCERNA,2015-03-0,, Lucerna , , , , , , , , , ,0,10135.65, , ,14.57,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, LA LABOR,2015-03-0,, La Labor , , , , , , , , , ,0,153.04, , ,0.22,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, FRATERNIDAD,2015-03-0,, Fraternidad , , , , , , , , , ,0,11304.35, , ,16.25,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, DOLORES MERENDON,2015-03-0,, Dolores de Merendon , , , , , , , , , ,0,389.56, , ,0.56,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, CONCEPCION,2015-03-0,, Concepcion , , , , , , , , , ,0,1266.08, , ,1.82,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, OCOTEPEQUE, BELEN GUALCHO,2015-03-0,, Belen Gualcho , , , , , , , , , ,0,8946.08, , ,12.86,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, VALLADOLID,2015-04-0,, Valladolid , , , , , , , , , ,0,4633.04, , ,6.66,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, TOMALA,2015-04-0,, Tomala , , , , , , , , , ,0,347.82, , ,0.5,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, TAMBLA,2015-04-0,, Tambla , , , , , , , , , ,0,4076.52, , ,5.86,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, TALGUA,2015-04-0,, Talgua , , , , , , , , , ,0,7589.56, , ,10.91,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SANTA CRUZ,2015-04-0,, Santa Cruz , , , , , , , , , ,0,11213.91, , ,16.12,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SAN SEBASTIAN,2015-04-0,, San Sebastian , , , , , , , , , ,0,8104.34, , ,11.65,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SAN RAFAEL,2015-04-0,, San Rafael , , , , , , , , , ,0,271.3, , ,0.39,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SAN MARCOS DE CAIQUIN,2015-04-0,, San Marcos de Caiquin , , , , , , , , , ,0,7060.86, , ,10.15,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SAN MANUEL DE COLOHETE,2015-04-0,, San Manuel De Colohete , , , , , , , , , ,0,11923.47, , ,17.14,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SAN JUAN GARITA,2015-04-0,, San Juan Garita , , , , , , , , , ,0,3255.65, , ,4.68,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, SAN FRANCISCO,2015-04-0,, San Francisco , , , , , , , , , ,0,32257.39, , ,46.37,0, , ,Bosque afectado por gorgojo 
PLAGUE, LEMPIRA, SAN ANDRES,2015-04-0,, San Andres , , , , , , , , , ,0,15123.49, , ,21.74,0, , ,Bosque afectado por gorgojo 
PLAGUE, LEMPIRA, PIRAERA,2015-04-0,, Piraera , , , , , , , , , ,0,18914.78, , ,27.19,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, LEPAERA,2015-04-0,, Lepaera , , , , , , , , , ,0,19513.04, , ,28.05,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, LAS FLORES,2015-04-0,, Las Flores , , , , , , , , , ,0,688.69, , ,0.99,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, LA UNION,2015-04-0,, La Union , , , , , , , , , ,0,2782.6, , ,4,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, LA IGUALA,2015-04-0,, LaIguala , , , , , , , , , ,0,69460.87, , ,99.85,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, LA CAMPA,2015-04-0,, La Campa , , , , , , , , , ,0,10678.26, , ,15.35,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, GUARITA,2015-04-0,, Guarita , , , , , , , , , ,0,76.52, , ,0.11,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, GUALCINSE,2015-04-0,, Gualcinse , , , , , , , , , ,0,23123.47, , ,33.24,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, GRACIAS,2015-04-0,, Gracias , , , , , , , , , ,0,28389.56, , ,40.81,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, ERANDIQUE,2015-04-0,, Erandique , , , , , , , , , ,0,102031.3, , ,146.67,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, COLOLACA,2015-04-0,, Cololaca , , , , , , , , , ,0,6539.13, , ,9.4,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LEMPIRA, BELEN,2015-04-0,, Belen , , , , , , , , , ,0,16326.95, , ,23.47,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, YARULA,2015-03-0,, Yarula , , , , , , , , , ,0,184257.39, , ,264.87,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SANTIAGO PURINGLA,2015-03-0,, Santiago Puringla , , , , , , , , , ,0,126949.56, , ,182.49,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SANTA MARIA,2015-03-0,, Santa Maria , , , , , , , , , ,0,263506.08, , ,378.79,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SANTA ELENA,2015-03-0,, Santa Elena , , , , , , , , , ,0,98977.39, , ,142.28,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SANTA ANA,2015-03-0,, Santa Ana , , , , , , , , , ,0,418420.87, , ,601.48,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SAN PEDRO TUTULE,2015-03-0,, San Pedro Tutule , , , , , , , , , ,0,81913.04, , ,117.75,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SAN JUAN,2015-03-0,, San Juan , , , , , , , , , ,0,15533.91, , ,22.33,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SAN JOSE,2015-03-0,, San Jose , , , , , , , , , ,0,111568.7, , ,160.38,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, SAN ANTONIO DEL NORTE,2015-03-0,, San Antonio del Norte , , , , , , , , , ,0,5920, , ,8.51,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, OPATORO,2015-03-0,, Opatoro , , , , , , , , , ,0,882080, , ,1267.99,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, MERCEDES DE ORIENTE,2015-03-0,, Mercedes de Oriente , , , , , , , , , ,0,7158.26, , ,10.29,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, MARCALA,2015-03-0,, Marcala , , , , , , , , , ,0,366525.21, , ,526.88,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, LAUTERIQUE,2015-03-0,, Lauterique , , , , , , , , , ,0,30699.13, , ,44.13,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, LA PAZ,2015-03-0,, La Paz , , , , , , , , , ,0,673001.74, , ,967.44,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, GUAJIQUIRO,2015-03-0,, Guajiquiro , , , , , , , , , ,0,1061467.83, , ,1525.86,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, CHINACLA,2015-03-0,, Chinalaca , , , , , , , , , ,0,106963.48, , ,153.76,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, CANE,2015-03-0,, Cane , , , , , , , , , ,0,33175.65, , ,74.69,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, CABAÑAS,2015-03-0,, Cabañas , , , , , , , , , ,0,283680, , ,407.79,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, LA PAZ, AGUANTEQUERIQUE,2015-03-0,, Aguantequerique , , , , , , , , , ,0,675248.7, , ,970.67,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, YAMARANGUILA,2015-04-0,, Yamaranguila , , , , , , , , , ,0,782393.04, , ,1124.69,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, SAN MIGUELITO,2015-04-0,, San Miguelito , , , , , , , , , ,0,40229.57, , ,57.83,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, SAN MARCOS DE LA SIERRA,2015-04-0,, San Marcos de la Sierra , , , , , , , , , ,0,135680, , ,195.04,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, SAN JUAN,2015-04-0,, San Juan , , , , , , , , , ,0,53947.82, , ,77.55,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, SAN ISIDRO,2015-04-0,, San Isidro , , , , , , , , , ,0,82761.74, , ,118.97,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, SAN FRANCISCO DE OPALACA,2015-04-0,, San Francisco de Opalaca , , , , , , , , , ,0,31283.47, , ,44.97,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, MASAGUARA,2015-04-0,, Masaguara , , , , , , , , , ,0,555937.39, , ,799.16,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, LA ESPERANZA,2015-04-0,, La Esperanza , , , , , , , , , ,0,643005.21, , ,924.32,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, JESUS DE OTORO,2015-04-0,, Jesus de Otoro , , , , , , , , , ,0,815485.22, , ,1172.76,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, INTIBUCA,2015-04-0,, Intibuca , , , , , , , , , ,0,1480514.78, , ,2128.24,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, DOLORES,2015-04-0,, Dolores , , , , , , , , , ,0,56299.13,, ,80.93,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, CONCEPCION,2015-04-0,, Concepción , , , , , , , , , ,0,4688.7, , ,6.74,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, INTIBUCA, COLOMONCAGUA,2015-04-0,, Colomoncagua , , , , , , , , , ,0,74838.26, , ,107.58,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, VILLA DE SAN FRANCISCO,2015-03-0,, Villa de San Francisco , , , , , , , , , ,0,108987.83, , ,156.67,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, VALLECILLO,2015-03-0,, Vallecillo , , , , , , , , , ,0,2114984.35, , ,3040.29,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, VALLE DE ANGELES,2015-03-0,, Valle De Angeles , , , , , , , , , ,0,835332.17, , ,1200.79,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, TATUMBLA,2015-03-0,, Tatumbla , , , , , , , , , ,0,340480, , ,489.44,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, TALANGA,2015-03-0,, Talanga , , , , , , , , , ,0,3213328.7, , ,4619.16,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SANTA LUCIA,2015-03-0,, Santa Lucia , , , , , , , , , ,0,467408.7, , ,671.9,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SANTA ANA,2015-03-0,, Santa Ana , , , , , , , , , ,0,223652.17, , ,321.5,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SAN JUAN DE FLORES,2015-03-0,, San Juan de Flores , , , , , , , , , ,0,2261746.08, , ,3251.26,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SAN IGNACIO,2015-03-0,, San Ignacio , , , , , , , , , ,0,8096772.17, , ,11639.11,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SAN BUENAVENTURA,2015-03-0,, San Buenaventura , , , , , , , , , ,0,114949.6, , ,165.24,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SAN ANTONIO DE ORIENTE,2015-03-0,, San Antonio de Oriente , , , , , , , , , ,0,1517808.7, , ,2181.85,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, SABANAGRANDE,2015-03-0,, SabanaGrande , , , , , , , , , ,0,116800, , ,167.9,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, REITOCA,2015-03-0,, Retoica , , , , , , , , , ,0,132848.7, , ,190.97,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, ORICA,2015-03-0,, Orica , , , , , , , , , ,0,8523151.3, , ,12252.03,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, OJOJONA,2015-03-0,, Ojojona , , , , , , , , , ,0,1733419.13, , ,2491.79,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, NUEVA ARMENIA,2015-03-0,, Nueva Armenia , , , , , , , , , ,0,387234.78, , ,556.65,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, MARALE,2015-03-0,, Marale , , , , , , , , , ,0,4107485.22, , ,5904.51,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, MARAITA,2015-03-0,, Maraita , , , , , , , , , ,0,844313.04, , ,1213.7,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, LEPATERIQUE,2015-03-0,, Lepaterique , , , , , , , , , ,0,5400786.09, , ,7763.63,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, LA VENTA,2015-03-0,, La venta , , , , , , , , , ,0,15582.61, , ,22.4,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, GUAIMACA,2015-03-0,, Guimaca , , , , , , , , , ,0,12114803.48, , ,17415.03,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, EL PORVENIR,2015-03-0,, El Porvenir , , , , , , , , , ,0,6784006.96, , ,9752.01,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, DISTRITO CENTRAL,2015-03-0,, Distrito Central , , , , , , , , , ,0,15908208.7, , ,22868.05,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, FR. MORAZAN, CURAREN,2015-03-0,, Curaren , , , , , , , , , ,0,545593.04, , ,784.29,0, , ,Bosque afectado por gorgojo 
